	Sample.12	Sample.8	Sample.10	Sample.1	Sample.5	Sample.3	Sample.6	Sample.2	Sample.4	Sample.11	Sample.7	Sample.9
gene-464	244	226	284	151	308	126	482	168	163	104	160	109
gene-465	0	0	2	0	2	1	0	1	2	1	1	0
gene-466	13	29	24	42	65	17	36	28	21	28	20	17
gene-467	9257	10089	10470	40597	50962	24426	31864	17365	11256	21312	17192	18456
gene-468	7	8	7	7	26	14	15	5	6	12	7	5
gene-469	2585	2688	2328	3852	7919	3904	3875	3854	2463	5093	5304	3811
gene-470	319	263	230	586	948	515	736	521	347	852	664	594
gene-471	53	45	73	101	177	77	219	80	84	47	44	53
gene-472	2788	3196	3607	9701	14022	7948	4583	3797	2923	15475	7787	11192
gene-473	32	45	53	80	111	37	44	27	35	81	37	58
gene-474	0	0	0	0	0	0	0	0	0	0	0	0
gene-475	25	24	39	443	354	172	103	42	30	206	95	200
gene-476	27	28	19	268	381	183	70	46	49	292	269	271
gene-477	0	0	0	1	0	0	0	0	0	1	0	0
gene-478	1	3	2	10	12	2	4	2	1	11	8	4
gene-479	24	24	10	11	30	7	42	37	19	9	11	6
gene-480	4011	3567	1928	524	4298	2003	2685	5933	3137	965	2574	638
gene-481	0	0	0	0	0	0	0	0	0	0	0	0
gene-482	0	0	0	0	0	0	0	0	0	0	0	0
gene-483	1838	2031	1292	484	1749	949	3880	2098	1355	1309	1404	464
gene-484	3794	3400	2597	902	3738	2103	5589	6246	3654	1047	2410	768
gene-485	204	199	138	49	282	115	523	302	192	133	239	46
gene-486	856	815	685	289	765	460	1887	1316	743	260	583	162
gene-487	3442	3491	3148	1144	4462	2021	8277	5557	3061	1498	2723	1010
gene-488	53847	39032	64279	27710	48331	26934	214787	78688	55204	7703	16938	9891
gene-489	0	0	0	0	0	0	0	0	0	0	0	0
gene-490	0	0	0	0	0	0	0	0	0	0	0	0
gene-491	5218	4898	5418	2429	7607	4041	18962	9493	6011	1835	4438	1716
gene-492	11598	10088	11380	4222	12200	7415	30144	15787	12956	3531	5663	2941
gene-493	2307	2150	1639	765	2577	1232	6352	3427	1536	1352	2113	627
gene-494	266	287	161	34	270	115	158	332	190	93	149	56
gene-495	8220	9541	5826	1427	7915	4713	10802	14918	7913	4530	7096	1908
gene-496	174	234	153	48	193	85	225	320	224	80	275	50
gene-497	1670	1277	1715	1462	2344	959	3758	2277	1479	792	918	822
gene-498	807	702	784	836	2204	803	1254	1687	780	575	889	519
gene-499	22	34	14	6	34	13	21	39	12	53	28	12
gene-500	16	14	13	11	19	21	21	27	15	11	17	8
gene-501	11	17	7	3	17	6	11	19	6	27	14	6
gene-502	11	7	7	7	28	10	14	14	7	6	16	5
gene-503	11	17	7	3	17	6	11	19	6	27	14	6
gene-504	0	1	0	0	1	2	0	1	0	3	2	3
gene-505	12	13	15	11	19	14	7	22	20	8	16	13
gene-506	3451	2574	2720	3715	6744	3360	6926	4610	3044	2680	2704	2371
gene-507	59	51	48	414	612	311	140	60	58	532	352	453
gene-508	6	12	7	24	99	38	5	11	3	138	50	40
gene-509	1	1	1	2	3	2	3	2	1	5	4	5
gene-510	0	0	0	1	0	0	0	0	0	0	0	0
gene-511	219	253	124	106	539	224	443	484	344	82	168	42
gene-512	0	1	0	0	1	0	4	3	2	2	1	0
gene-513	2	1	0	0	5	4	1	1	3	0	3	0
gene-514	2	2	1	3	8	6	1	6	2	1	1	0
gene-515	5	4	6	8	17	7	16	17	14	4	10	5
gene-516	4	1	1	3	9	9	3	3	4	4	4	1
gene-517	0	0	0	6	5	1	2	1	0	4	2	3
gene-518	145	150	150	1131	1455	723	930	321	304	1178	960	847
gene-519	2	4	1	4	1	5	1	0	0	6	15	6
gene-520	57	32	16	56	157	58	64	63	25	108	123	57
gene-521	78	60	65	170	225	117	189	60	49	94	82	75
gene-522	5	15	3	21	52	29	15	5	10	29	31	12
gene-523	3	7	3	13	20	13	12	9	6	15	8	2
gene-524	12	6	5	6	17	6	25	7	3	8	9	5
gene-525	22	16	24	29	47	25	102	51	34	27	27	10
gene-526	45	28	41	39	126	48	195	94	79	37	36	16
gene-527	0	0	0	0	0	0	0	0	0	0	0	1
gene-528	2	1	0	3	3	1	10	4	1	4	9	3
gene-529	1	0	1	1	1	0	0	0	0	0	0	0
gene-530	15	9	11	11	18	13	45	33	8	16	16	2
gene-531	0	0	0	0	0	0	1	0	0	0	1	0
gene-532	0	1	0	1	1	2	0	0	0	1	1	0
gene-533	9	5	16	20	23	13	17	6	8	8	5	15
gene-534	1	1	0	0	0	0	1	1	1	1	0	2
gene-535	1	1	0	1	2	0	2	0	0	0	2	2
gene-536	0	0	0	0	0	0	0	0	0	0	0	0
gene-537	0	0	0	0	0	0	0	0	0	0	0	0
gene-538	0	1	1	2	3	1	0	2	0	2	6	3
gene-539	0	0	0	0	0	0	0	0	0	0	0	0
gene-540	2	0	1	0	1	1	1	1	1	0	0	0
gene-541	0	0	0	0	0	0	0	0	0	0	1	0
gene-542	0	0	0	0	0	0	0	0	0	0	0	0
gene-543	61	37	23	7	57	41	49	63	47	30	25	13
gene-544	0	1	1	2	5	1	0	0	0	0	1	0
gene-545	0	0	0	0	0	0	0	0	0	2	0	0
gene-546	0	0	0	0	1	0	3	1	0	2	1	1
gene-547	5	2	3	11	13	6	13	12	1	7	1	1
gene-548	0	0	0	0	0	0	0	0	0	0	0	0
gene-549	0	0	0	0	0	0	0	0	0	0	0	0
gene-550	0	0	1	0	0	0	0	0	2	0	0	1
gene-551	1	7	8	8	10	4	4	6	4	2	4	3
gene-552	0	0	0	0	0	2	0	1	0	0	0	2
gene-553	0	1	0	3	2	2	2	0	0	1	4	0
gene-554	71	42	46	257	181	79	65	93	57	248	96	202
gene-555	47	47	28	60	171	72	92	97	62	119	67	77
gene-556	2	0	1	1	0	1	0	0	0	0	1	1
gene-557	0	0	1	0	0	1	0	0	0	0	0	0
gene-558	0	0	0	0	0	0	0	1	1	0	0	4
gene-559	0	0	0	0	0	0	0	0	0	0	1	0
gene-560	0	0	0	0	0	0	0	0	0	1	1	1
gene-561	0	0	0	0	0	0	0	0	0	0	0	0
gene-562	0	0	0	0	0	0	0	0	0	0	0	0
gene-563	1	2	4	6	53	9	6	3	0	39	12	13
gene-564	0	1	4	4	1	0	1	0	2	9	1	4
gene-565	0	0	0	0	1	0	0	0	0	0	0	0
gene-566	0	0	0	0	0	0	0	0	0	0	0	0
gene-567	0	0	0	0	0	0	0	0	0	0	0	0
gene-568	0	0	0	0	0	0	0	0	0	0	0	0
gene-569	2	5	0	4	2	0	0	2	4	1	6	4
gene-570	0	0	0	0	0	0	0	0	0	0	0	0
gene-571	2	7	14	29	36	16	24	7	6	16	5	10
gene-572	0	0	0	0	0	0	0	0	0	0	0	0
gene-573	0	0	0	1	1	0	0	0	0	0	0	0
gene-574	1	0	0	0	1	0	2	0	0	1	2	0
gene-575	0	0	0	0	0	0	0	0	0	0	0	0
gene-576	0	3	1	0	0	0	3	4	0	1	0	0
gene-577	0	0	0	1	0	0	1	0	0	0	0	0
gene-578	0	0	0	0	0	0	0	0	0	0	0	0
gene-579	0	0	0	0	0	0	3	0	0	0	0	0
gene-580	0	0	0	0	0	0	0	0	0	0	1	0
gene-581	0	0	0	8	4	6	2	0	0	0	0	5
gene-582	0	0	0	0	0	0	0	0	0	0	0	0
gene-583	0	0	0	0	0	0	0	0	0	0	0	0
gene-584	5	3	6	184	151	65	19	6	8	39	28	25
gene-585	0	0	0	4	0	0	0	0	0	0	0	0
gene-586	6	3	0	12	10	7	11	3	1	3	4	7
gene-587	0	2	0	0	0	0	2	1	0	0	2	0
gene-588	0	0	0	0	0	0	0	0	0	0	0	0
gene-589	1	0	0	1	2	1	0	0	0	2	1	1
gene-590	0	0	0	0	1	0	0	0	0	0	0	0
gene-591	0	0	0	0	0	0	0	0	0	1	0	0
gene-592	2	4	1	4	10	2	6	4	5	3	3	0
gene-593	0	0	1	0	2	0	0	1	3	3	1	1
gene-594	6	6	4	1	6	2	7	5	3	1	0	2
gene-595	0	0	2	0	0	0	0	0	0	0	1	0
gene-596	0	0	0	0	0	0	0	0	0	0	0	0
gene-597	1	0	3	3	0	2	0	0	0	0	2	0
gene-598	1	0	0	5	1	0	7	0	2	1	1	1
gene-599	0	0	0	0	0	0	0	0	0	0	0	0
gene-600	0	1	0	0	0	0	0	0	0	0	0	0
gene-601	0	0	0	0	0	0	0	0	0	0	0	0
gene-602	0	0	0	1	1	1	0	0	0	0	1	1
gene-603	0	0	0	0	0	0	0	0	0	0	0	0
gene-604	0	0	0	0	1	1	0	0	0	0	0	0
gene-605	0	0	0	0	0	0	0	0	0	0	0	0
gene-606	7	2	3	1	4	2	6	8	4	1	5	1
gene-607	0	0	0	0	0	0	0	0	0	0	0	0
gene-608	1	0	0	0	0	0	0	1	0	1	1	0
gene-609	0	0	0	0	0	0	0	0	0	0	0	0
gene-610	0	0	0	0	0	0	0	0	0	0	0	0
gene-611	0	0	0	0	0	0	0	0	0	0	0	0
gene-612	1	0	1	0	0	0	1	0	0	0	0	0
gene-613	0	0	0	0	0	1	5	0	0	0	0	1
gene-614	1	2	0	7	3	0	10	5	2	8	1	7
gene-615	0	0	0	0	2	0	1	0	1	1	0	0
gene-616	1	0	1	0	3	2	1	0	1	1	3	1
gene-617	0	1	0	2	4	0	1	1	0	2	1	0
gene-618	0	0	0	0	0	0	2	1	0	0	2	1
gene-619	0	0	0	0	0	0	0	0	0	1	0	0
gene-620	9	6	6	121	125	68	73	16	15	39	21	30
gene-621	0	0	0	0	0	0	0	0	0	0	0	0
gene-622	607	467	731	1327	1623	843	2665	1182	934	1333	805	1207
gene-623	8662	5825	5525	13688	27407	14110	29158	18445	13479	28586	14877	18212
gene-624	46	33	62	131	163	71	358	80	89	49	53	52
gene-625	678	842	397	318	1764	738	411	1075	545	2707	1580	884
gene-626	7	15	18	20	37	18	65	22	17	24	18	16
gene-627	69	83	98	212	306	107	332	212	142	219	93	155
gene-628	9435	8744	8524	15292	24145	13488	15670	15166	9697	17568	14036	15885
gene-629	28	36	25	57	126	59	136	86	78	57	62	38
gene-630	10672	8756	12353	22653	27229	14438	41893	19251	13171	16470	10363	14320
gene-631	545	550	812	1933	1882	961	1782	766	613	1050	628	1009
gene-632	6664	5478	3282	9671	24588	10846	9995	9071	5841	16001	12245	9284
gene-633	0	0	0	4	1	0	0	0	0	1	0	0
gene-634	1	4	1	0	0	0	4	3	2	3	1	1
gene-635	109	133	84	46	195	96	130	216	147	47	86	47
gene-636	0	0	0	0	0	0	0	0	0	0	0	0
gene-637	0	0	0	0	0	0	0	0	0	0	0	0
gene-638	0	0	0	4	0	0	0	0	0	0	0	0
gene-639	0	1	0	0	0	0	0	0	0	0	0	0
gene-640	6	11	8	14	43	13	22	19	10	76	25	20
gene-641	2	7	3	8	19	13	4	8	11	9	13	5
gene-642	0	2	2	1	6	0	4	2	2	2	0	0
gene-643	13	8	18	40	47	14	72	38	19	10	17	11
gene-644	1	1	0	1	1	2	3	3	1	1	1	0
gene-645	0	0	0	0	1	0	0	0	1	0	0	0
gene-646	0	0	0	0	0	0	0	0	0	0	0	0
gene-647	0	0	0	0	0	0	0	0	0	0	0	0
gene-648	4	4	0	0	4	3	4	3	0	1	1	0
gene-649	0	0	0	0	0	0	0	0	0	0	0	0
gene-650	0	0	0	0	0	0	0	0	0	0	0	0
gene-651	0	0	0	0	0	0	0	0	0	0	0	0
gene-652	0	0	0	0	0	0	0	0	0	0	0	0
gene-653	0	0	0	0	0	0	0	0	0	0	0	0
gene-654	2	0	0	0	0	0	1	0	0	0	0	0
gene-655	0	0	0	0	2	0	0	0	0	0	1	1
gene-656	0	0	0	0	0	0	0	0	0	0	0	0
gene-657	0	1	1	5	4	1	0	2	0	7	2	2
gene-658	0	0	1	1	1	0	2	3	0	0	0	0
gene-659	1	1	2	1	6	0	0	0	2	1	0	0
gene-660	0	0	0	0	0	0	0	0	0	0	0	0
gene-661	0	0	0	0	0	0	0	0	0	0	0	0
gene-662	0	0	0	0	0	0	0	0	0	0	0	0
gene-663	6	14	15	8	7	6	29	6	8	19	17	10
gene-664	76	69	44	141	304	147	258	143	114	230	256	110
gene-665	1350	958	1308	3621	4443	2317	4043	2226	1590	1367	1110	1696
gene-666	0	0	0	0	0	0	0	0	0	0	0	0
gene-667	503	507	647	6631	6441	4053	1112	478	527	6200	3062	5309
gene-668	86	96	49	835	1623	869	104	104	72	2110	1464	817
gene-669	152	96	162	1387	1227	612	611	238	215	455	432	501
gene-670	1	1	6	13	14	7	9	4	2	5	2	2
gene-671	46	42	22	44	97	34	16	46	26	69	71	35
gene-672	20	20	10	15	47	22	18	19	6	44	45	16
gene-673	1	1	0	2	2	0	2	1	1	2	2	2
gene-674	0	0	2	23	16	8	11	4	1	4	9	7
gene-675	6	7	9	21	53	35	12	26	14	100	88	21
gene-676	0	0	0	0	0	0	0	0	0	0	0	0
gene-677	0	0	0	0	0	0	0	0	0	0	0	0
gene-678	191	199	239	1134	1185	624	863	406	267	372	276	320
gene-679	0	0	0	0	7	0	0	0	0	0	0	0
gene-680	40	37	28	121	276	135	60	40	36	222	153	154
gene-681	35	28	24	142	308	134	28	30	22	289	185	183
gene-682	1	1	0	1	5	3	1	2	1	1	3	1
gene-683	27	15	5	19	81	40	45	48	25	27	41	10
gene-684	45	40	46	173	193	107	104	43	36	55	49	54
gene-685	27	17	26	146	177	81	79	48	35	111	73	96
gene-686	12	8	5	33	65	32	16	6	16	52	22	31
gene-687	2	1	4	7	10	7	4	7	0	11	12	6
gene-688	1199	1423	2050	5350	3583	1987	2415	743	669	491	760	571
gene-689	245	368	269	1337	2220	932	526	267	233	1459	1632	835
gene-690	1	4	0	5	31	11	0	6	1	65	37	16
gene-691	95	86	102	851	1038	407	299	130	93	665	392	588
gene-692	1	0	0	0	0	0	2	1	1	0	0	0
gene-693	1	1	1	0	3	3	7	7	2	0	0	0
gene-694	21	25	23	32	83	29	56	41	28	36	47	14
gene-695	284	294	228	267	839	414	325	462	265	312	372	209
gene-696	24	34	33	263	307	171	131	77	52	138	89	105
gene-697	622	716	769	7103	8429	4635	3260	1891	1646	4768	2516	3290
gene-698	93	88	111	577	920	427	373	181	161	780	505	533
gene-699	0	2	0	8	7	9	1	0	1	12	7	14
gene-700	38	50	40	98	249	101	20	44	26	451	219	195
gene-701	2	0	1	3	6	1	2	1	0	5	1	7
gene-702	0	0	0	0	0	0	0	0	0	0	0	0
gene-703	27	24	29	638	690	328	180	56	52	275	146	199
gene-704	0	0	0	0	1	0	0	0	0	1	0	0
gene-705	1	1	0	1	0	0	2	1	0	0	0	0
gene-706	0	0	0	0	0	0	0	0	0	0	0	0
gene-707	0	1	0	8	10	12	1	0	1	9	3	7
gene-708	0	0	0	0	1	0	0	0	0	0	0	0
gene-709	0	0	0	0	0	0	0	0	0	0	0	0
gene-710	0	0	0	0	0	0	0	0	0	0	0	0
gene-711	0	0	0	0	0	0	0	0	0	0	0	0
gene-712	2	1	1	24	10	12	2	1	3	4	5	10
gene-713	2	0	4	17	13	4	2	0	1	12	8	7
gene-714	0	0	0	0	0	0	0	0	0	0	0	0
gene-715	0	0	1	6	5	4	1	2	1	2	2	0
gene-716	0	0	0	0	0	0	0	0	0	1	0	0
gene-717	0	0	0	0	0	0	0	0	0	0	0	0
gene-718	0	0	0	0	0	0	0	0	0	0	0	0
gene-719	0	0	0	0	0	0	0	0	0	0	0	0
gene-720	0	0	0	0	0	0	0	0	0	0	0	0
gene-721	0	0	0	0	0	0	0	0	0	0	0	0
gene-722	107	99	107	692	713	373	265	170	98	313	265	230
gene-723	14	19	14	37	139	54	16	13	10	121	55	42
gene-724	0	0	0	0	0	0	1	0	0	0	1	0
gene-725	6	2	4	4	12	13	11	7	11	1	5	5
gene-726	7	6	4	21	16	14	22	14	7	12	9	10
gene-727	13	11	13	28	23	20	33	24	11	14	8	23
gene-728	2	0	0	1	2	1	0	0	0	2	0	0
gene-729	0	0	0	0	0	0	0	0	0	0	1	0
gene-730	5	2	2	29	13	9	3	7	1	11	9	2
gene-731	62	62	63	356	429	182	128	145	87	949	473	703
gene-732	0	0	0	0	0	0	0	0	0	0	0	0
gene-733	1	2	1	0	2	0	4	0	2	3	3	1
gene-734	24	22	29	162	164	60	32	71	40	296	157	249
gene-735	4	0	2	9	6	4	11	6	3	14	5	12
gene-736	0	0	2	1	2	0	1	1	0	1	2	0
gene-737	3	0	0	2	1	0	3	0	1	1	0	0
gene-738	1	1	1	10	9	1	5	0	0	5	1	2
gene-739	0	1	0	0	1	0	1	0	2	0	0	1
gene-740	0	0	0	0	0	0	0	0	0	0	0	0
gene-741	2	2	0	0	10	3	0	2	2	8	6	3
gene-742	138	111	79	100	398	250	170	225	108	344	361	135
gene-743	6	10	6	118	153	84	20	21	11	130	35	46
gene-744	18	17	14	282	536	232	40	57	42	200	115	90
gene-745	1	0	1	11	36	19	6	7	3	46	18	14
gene-746	174	160	147	3218	5549	2747	470	432	404	2548	1418	1379
gene-747	24	34	14	8	71	31	9	45	18	150	71	23
gene-748	5	12	11	11	28	17	11	6	6	14	10	12
gene-749	17	17	22	296	208	103	39	9	14	120	80	87
gene-750	675	678	1042	17114	15360	7736	2006	1074	857	7286	3928	6696
gene-751	3867	3033	3302	4115	14522	3244	1742	11256	6730	11066	2958	6409
gene-752	0	0	0	0	2	0	0	0	0	0	0	0
gene-753	0	0	0	0	0	1	0	0	0	0	0	0
gene-754	1	2	0	1	4	3	1	0	2	0	0	0
gene-755	2	1	0	1	3	3	1	8	5	0	0	0
gene-756	0	0	0	0	0	0	0	2	0	0	0	0
gene-757	0	0	0	0	0	0	0	0	1	0	0	0
gene-758	0	0	0	0	0	0	0	0	0	0	0	0
gene-759	0	0	0	1	2	1	1	5	0	2	0	1
gene-760	1	0	0	1	0	0	1	1	0	0	1	0
gene-761	152	130	183	565	523	261	842	313	225	295	194	339
gene-762	252	229	154	290	713	385	199	348	220	415	361	273
gene-763	0	0	0	0	0	1	0	0	0	0	0	0
gene-764	0	1	0	0	0	0	0	0	0	0	0	0
gene-765	13	12	2	19	58	32	8	25	9	92	57	43
gene-766	94	88	94	184	418	209	237	260	213	305	181	214
gene-767	0	0	0	0	0	0	0	0	0	0	0	0
gene-768	0	0	0	0	0	0	0	0	0	0	0	0
gene-769	2228	1827	1726	716	1971	1021	4723	2839	1980	621	1326	642
gene-770	304	273	323	114	230	137	606	343	249	64	124	59
gene-771	6	7	13	14	31	8	58	14	17	3	3	0
gene-772	1	1	3	6	9	2	34	3	14	12	3	5
gene-773	54	76	43	22	123	55	54	95	47	283	120	91
gene-774	0	1	0	0	2	1	0	1	0	1	0	3
gene-775	0	0	0	0	0	0	0	0	0	0	0	0
gene-776	210	220	124	408	1243	587	266	276	195	1259	1133	733
gene-777	35	25	29	161	267	158	123	57	37	178	137	150
gene-778	208	175	272	2019	2333	917	1122	429	342	1430	894	1249
gene-779	2	6	2	26	57	29	22	13	6	30	17	24
gene-780	0	0	0	0	0	0	0	0	0	0	0	0
gene-781	131	165	153	562	985	518	322	208	144	753	552	353
gene-782	0	0	0	0	0	1	0	0	0	0	0	0
gene-783	0	0	0	2	2	0	0	0	0	2	2	1
gene-784	29	38	25	20	21	16	51	39	32	8	24	17
gene-785	0	0	0	0	0	0	0	0	0	0	0	0
gene-786	1	2	0	7	27	8	6	0	2	17	33	6
gene-787	3	7	4	24	41	21	19	4	4	38	31	17
gene-788	33	42	36	71	193	116	121	97	62	305	226	135
gene-789	2	2	2	12	21	7	9	4	5	24	13	13
gene-790	7	8	0	23	39	17	10	8	9	59	37	23
gene-791	0	1	0	2	2	0	1	0	1	3	1	1
gene-792	1	3	1	5	18	6	1	3	4	26	27	12
gene-793	1	3	4	7	16	9	3	3	1	16	11	9
gene-794	286	329	335	2189	1991	1040	1098	369	368	975	596	722
gene-795	0	0	2	22	29	14	3	4	2	16	7	10
gene-796	1	2	2	15	13	10	7	4	2	9	5	5
gene-797	20	22	30	152	156	100	73	28	35	102	69	65
gene-798	29	19	17	141	147	71	67	31	23	55	28	32
gene-799	38	32	42	210	309	154	94	36	44	283	182	225
gene-800	491	399	592	6921	6049	2764	2486	590	644	5187	2638	4205
gene-801	24	21	11	113	221	99	58	24	27	180	162	85
gene-802	11	16	20	201	202	113	71	19	15	125	58	92
gene-803	81	94	74	876	953	447	620	170	161	1056	744	746
gene-804	0	0	0	1	6	3	0	0	0	2	0	0
gene-805	173	124	140	903	1294	717	419	186	207	841	557	795
gene-806	295	241	325	2724	2899	1541	1116	440	400	1569	1073	1656
gene-807	0	0	0	0	0	0	0	0	0	0	0	0
gene-808	1	5	4	194	157	66	30	10	5	4	3	4
gene-809	1	2	1	4	11	6	2	0	0	9	3	4
gene-810	3	5	0	2	3	4	3	0	2	4	7	6
gene-811	0	0	0	0	0	0	0	0	0	0	0	0
gene-812	0	0	0	0	0	0	0	0	0	0	0	0
gene-813	0	0	0	1	1	1	0	0	0	2	0	1
gene-814	152	48	35	141	67	50	84	88	73	44	33	20
gene-815	0	0	0	0	0	0	0	0	0	0	0	0
gene-816	0	0	0	0	0	0	0	0	0	0	0	0
gene-817	0	0	0	0	0	0	0	0	0	0	0	0
gene-818	0	0	0	0	0	0	0	0	0	0	0	0
gene-819	415	354	413	821	774	541	1273	778	508	207	205	179
gene-820	0	0	0	0	0	0	0	0	0	0	0	0
gene-821	0	1	0	0	2	1	1	1	2	3	1	1
gene-822	0	0	0	0	0	0	0	0	0	0	0	0
gene-823	354	269	418	3034	2535	1202	1678	531	418	1461	1101	1626
gene-824	101	89	89	582	1048	488	147	134	106	739	414	591
gene-825	126	115	88	449	1044	540	225	203	196	757	713	503
gene-826	7	1	4	51	55	25	40	2	18	21	20	12
gene-827	70	67	85	461	539	297	291	104	93	373	384	387
gene-828	215	227	261	1562	2728	1388	761	318	293	2942	1766	2089
gene-829	2	1	1	13	7	9	6	0	0	17	3	9
gene-830	35	42	29	304	369	143	98	27	38	137	79	158
gene-831	71	60	59	330	423	214	127	101	73	167	158	124
gene-832	1	0	0	2	1	3	0	0	0	1	2	0
gene-833	1723	1685	2186	4544	5149	2603	3855	1944	1346	2702	1962	2696
gene-834	509	447	839	2303	1910	786	2069	668	494	586	481	778
gene-835	12	12	4	36	32	32	10	14	11	41	26	36
gene-836	37	55	39	121	211	94	68	48	34	218	135	111
gene-837	102	99	82	165	401	149	204	132	103	189	369	119
gene-838	0	0	0	0	0	0	0	0	0	0	0	0
gene-839	17	20	25	156	203	85	49	36	32	128	69	77
gene-840	57	47	25	203	350	203	130	89	52	377	320	214
gene-841	0	0	0	0	0	0	0	0	0	0	0	0
gene-842	277	213	340	2165	2204	1158	1459	439	381	831	627	996
gene-843	2	3	2	17	23	20	12	7	3	31	34	20
gene-844	385	297	324	1659	2565	1376	859	604	493	1694	1301	1515
gene-845	214	147	188	1742	1916	929	1199	459	376	1488	905	1088
gene-846	0	1	1	1	1	0	5	1	2	2	2	2
gene-847	0	0	0	0	0	0	0	0	0	0	0	0
gene-848	0	0	0	0	0	0	0	0	0	0	0	0
gene-849	0	1	0	1	2	1	0	0	0	1	1	1
gene-850	0	0	0	0	1	0	1	0	0	1	0	0
gene-851	0	0	0	0	0	0	0	0	0	0	0	0
gene-852	0	0	0	0	0	0	0	0	1	0	0	0
gene-853	8	11	4	22	31	12	12	4	9	28	12	17
gene-854	1	0	0	0	6	2	0	1	0	5	9	4
gene-855	545	662	429	1511	3209	1420	1044	799	610	2111	1648	1572
gene-856	45	63	36	146	306	138	71	74	43	276	183	188
gene-857	79	63	55	90	252	96	72	91	65	238	156	154
gene-858	2	28	1	2	7	12	13	22	14	10	14	5
gene-859	0	0	0	0	0	0	0	0	0	0	0	0
gene-860	0	0	0	0	0	0	0	2	0	0	0	1
gene-861	0	0	0	6	2	3	3	0	2	1	1	1
gene-862	0	0	0	0	0	0	0	0	0	0	0	0
gene-863	79	115	148	163	370	130	69	38	43	1390	993	1325
gene-864	122	144	151	419	591	249	163	79	65	3989	1742	2444
gene-865	19	9	13	20	72	41	43	86	47	19	19	13
gene-866	20	11	13	2	39	26	32	40	33	21	11	15
gene-867	28	34	33	25	91	58	125	89	77	27	25	38
gene-868	25	20	41	27	80	73	125	87	89	28	19	41
gene-869	57	67	67	49	181	115	250	177	154	54	50	75
gene-870	145	139	247	168	346	279	1074	465	525	226	106	269
gene-871	55	67	67	48	180	114	250	176	152	54	50	75
gene-872	131	155	284	183	404	281	1160	534	527	162	117	220
gene-873	1	0	0	0	1	0	1	1	0	0	0	1
gene-874	0	0	0	0	0	0	0	0	0	0	0	0
gene-875	7	9	6	3	13	8	12	11	7	13	9	5
gene-876	1	3	1	1	6	2	2	3	3	1	1	2
gene-877	62	79	53	24	105	67	108	92	58	99	70	41
gene-878	14	10	9	7	36	12	44	27	18	11	21	11
gene-879	24	30	20	9	41	26	42	36	22	39	27	15
gene-880	23	14	17	17	28	32	61	32	32	25	24	18
gene-881	19	23	25	12	43	22	40	20	16	32	27	8
gene-882	1	0	0	0	1	1	1	1	0	1	0	0
gene-883	8	10	7	3	14	9	14	12	7	13	9	5
gene-884	2	2	1	1	3	1	5	3	2	2	2	1
gene-885	1	0	1	1	1	3	3	1	1	3	3	1
gene-886	109	134	83	42	140	47	139	126	104	59	78	27
gene-887	1	0	1	0	1	3	3	1	1	3	3	1
gene-888	28	22	27	13	23	12	52	21	27	29	23	15
gene-889	4	8	7	3	7	4	9	2	4	10	4	5
gene-890	6	5	2	6	9	4	10	17	4	4	3	6
gene-891	14	16	5	3	6	4	11	13	8	9	11	2
gene-892	1	1	0	2	4	1	0	4	1	4	5	0
gene-893	1	0	1	0	0	0	0	3	0	1	0	1
gene-894	2	3	0	2	5	6	6	3	3	0	2	1
gene-895	0	0	0	0	0	0	0	0	0	0	1	0
gene-896	0	0	0	0	0	0	0	0	0	0	0	0
gene-897	1	1	0	1	0	1	0	3	1	5	2	2
gene-898	0	0	0	0	0	0	0	0	0	0	0	0
gene-899	0	3	0	2	4	2	2	1	0	0	0	0
gene-900	1	0	0	0	1	1	1	1	0	1	0	0
gene-901	1	0	0	3	1	0	2	2	0	0	0	0
gene-902	2	1	1	1	5	2	6	4	2	1	3	2
gene-903	8	10	7	3	14	9	14	12	7	13	9	5
gene-904	1	1	0	0	2	1	4	3	4	1	1	1
gene-905	0	0	0	0	0	0	0	0	0	0	0	0
gene-906	134	148	104	44	194	93	152	182	94	141	114	79
gene-907	293	202	257	104	213	217	642	354	241	247	204	160
gene-908	2	3	0	0	0	3	1	2	0	3	2	0
gene-909	29	20	26	10	21	22	64	35	24	25	20	16
gene-910	3	0	0	0	5	1	2	3	2	1	2	0
gene-911	63	52	41	44	53	40	135	74	48	42	45	31
gene-912	13	15	10	4	19	9	15	18	9	14	11	8
gene-913	20	18	18	14	23	17	73	35	35	35	33	16
gene-914	2	3	1	0	7	1	7	4	1	4	4	0
gene-915	99	67	59	60	128	70	244	145	93	81	78	48
gene-916	0	0	0	0	1	0	0	0	0	0	0	0
gene-917	0	0	0	0	0	0	0	0	0	0	0	0
gene-918	0	0	0	1	1	0	2	1	0	1	1	2
gene-919	0	0	0	0	0	0	0	0	0	0	0	0
gene-920	0	0	0	0	0	0	0	0	0	0	0	0
gene-921	1	0	0	0	2	2	2	0	0	2	1	1
gene-922	124	127	195	153	298	217	710	444	359	200	93	203
gene-923	3	5	7	3	16	10	14	23	7	6	5	5
gene-924	57	68	68	37	211	152	284	305	228	62	76	58
gene-925	20	34	17	317	543	253	88	56	38	154	123	76
gene-926	10	7	18	285	236	113	141	26	31	61	67	48
gene-927	1559	1240	1046	1230	3580	1688	2218	2773	1487	1259	1372	997
gene-928	60	46	72	310	288	181	195	106	78	242	204	194
gene-929	16	15	21	178	175	60	109	39	38	104	64	96
