	Sample.12	Sample.8	Sample.10	Sample.1	Sample.5	Sample.3	Sample.6	Sample.2	Sample.4	Sample.11	Sample.7	Sample.9
gene-1423	0	0	0	0	0	0	0	0	0	0	0	0
gene-1424	0	1	0	0	0	0	0	0	0	0	0	0
gene-1425	0	0	0	0	0	0	1	0	0	0	0	0
gene-1426	0	0	0	0	0	0	0	0	0	0	0	0
gene-1427	0	0	0	0	0	0	0	0	0	0	0	0
gene-1428	0	0	0	0	0	1	0	0	3	1	2	0
gene-1429	0	0	0	0	0	0	0	0	0	0	0	0
gene-1430	0	0	0	0	0	0	0	0	0	0	0	1
gene-1431	0	1	0	0	3	0	1	0	0	0	0	0
gene-1432	1	2	1	0	3	3	8	7	3	1	5	1
gene-1433	0	0	0	0	1	0	2	1	0	0	0	0
gene-1434	0	0	0	0	0	0	0	0	0	0	0	0
gene-1435	0	0	0	0	0	0	0	0	0	0	0	0
gene-1436	1	1	0	0	1	2	3	2	1	0	0	0
gene-1437	1	0	0	1	0	0	1	0	0	0	0	0
gene-1438	0	0	0	0	0	0	0	0	0	0	0	0
gene-1439	0	0	0	0	0	0	0	0	0	0	0	0
gene-1440	0	0	0	0	0	0	0	0	0	0	0	0
gene-1441	0	0	0	0	0	0	0	0	0	0	0	0
gene-1442	0	0	0	0	0	0	0	0	0	0	0	0
gene-1443	0	0	0	0	1	0	0	0	0	0	0	0
gene-1444	0	0	0	0	0	0	0	0	0	0	0	0
gene-1445	0	0	0	0	0	0	0	0	0	0	0	0
gene-1446	0	0	0	0	0	0	0	0	0	0	0	0
gene-1447	0	0	0	0	0	0	0	0	0	0	0	0
gene-1448	0	0	0	0	0	0	0	0	0	0	0	0
gene-1449	0	0	0	0	1	2	0	0	0	0	1	0
gene-1450	0	0	0	0	0	0	0	0	0	0	0	0
gene-1451	0	0	0	0	0	0	0	0	0	0	0	0
gene-1452	0	0	0	0	0	0	0	0	0	0	0	0
gene-1453	2	0	3	0	5	0	2	1	0	1	0	0
gene-1454	0	0	0	0	0	0	0	0	0	0	0	0
gene-1455	0	2	0	0	0	0	2	1	0	0	0	0
gene-1456	0	0	1	1	3	1	1	1	1	0	1	2
gene-1457	0	0	1	0	0	0	0	0	0	0	0	0
gene-1458	0	1	1	2	0	0	3	0	0	0	1	0
gene-1459	0	0	0	0	0	0	0	0	0	0	0	0
gene-1460	0	0	0	0	0	0	0	0	0	0	0	0
gene-1461	0	0	0	0	1	1	0	0	1	0	0	0
gene-1462	0	0	1	0	0	0	0	1	0	0	0	0
gene-1463	0	0	0	0	1	1	3	3	3	0	1	1
gene-1464	0	0	0	0	0	0	0	0	0	0	0	0
gene-1465	11	5	17	5	9	4	19	7	5	2	8	3
gene-1466	0	0	0	0	0	0	0	0	0	0	0	0
gene-1467	0	0	0	0	0	0	0	0	0	1	0	0
gene-1468	3	2	1	1	1	0	5	5	0	1	1	0
gene-1469	0	0	0	0	0	0	0	0	0	0	0	0
gene-1470	0	0	0	0	0	0	0	0	0	0	0	0
gene-1471	0	0	0	0	0	1	0	0	0	0	0	0
gene-1472	0	0	0	0	0	0	0	0	0	0	0	0
gene-1473	0	0	0	0	0	0	0	0	0	0	0	0
gene-1474	0	0	0	0	1	1	0	0	0	0	0	0
gene-1475	6	3	3	6	3	5	13	2	4	1	3	2
gene-1476	1	0	0	0	0	0	5	3	0	1	0	3
gene-1477	0	0	0	0	0	0	0	0	0	1	0	0
gene-1478	1	0	0	1	0	0	0	0	0	0	0	0
gene-1479	0	0	0	0	0	0	0	0	0	0	0	0
gene-1480	29	18	34	46	62	42	59	30	37	30	20	38
gene-1481	15	13	12	8	19	4	20	6	4	17	7	9
gene-1482	0	0	0	0	0	0	0	0	0	0	0	0
gene-1483	0	0	0	0	0	0	0	0	0	0	0	0
gene-1484	0	0	0	0	0	0	0	0	0	0	0	0
gene-1485	0	0	0	0	0	0	0	0	0	0	0	0
gene-1486	0	0	0	0	0	0	0	0	0	0	0	0
gene-1487	0	0	0	0	0	0	1	0	0	0	0	1
gene-1488	0	0	0	0	0	0	0	0	0	0	0	0
gene-1489	0	0	2	1	0	0	0	0	1	0	0	0
gene-1490	0	0	0	0	0	0	0	0	0	0	0	0
gene-1491	0	0	0	0	2	0	0	0	0	1	0	0
gene-1492	0	0	0	0	0	0	0	0	0	0	0	0
gene-1493	0	0	0	0	0	0	0	0	0	0	0	0
gene-1494	0	0	0	2	0	0	0	0	0	0	0	0
gene-1495	0	0	0	0	0	0	0	0	0	0	0	0
gene-1496	0	0	0	0	0	0	0	0	0	0	0	0
gene-1497	0	0	0	0	0	0	0	0	0	0	0	0
gene-1498	0	0	0	1	0	0	2	1	1	0	1	0
gene-1499	0	0	1	0	2	0	6	1	2	2	0	0
gene-1500	0	0	0	0	0	0	0	0	0	0	0	0
gene-1501	0	0	0	0	0	0	0	0	0	1	0	0
gene-1502	2	3	1	0	1	0	0	1	0	0	0	0
gene-1503	4	9	7	1	9	4	3	7	9	3	4	4
gene-1504	0	0	0	0	0	0	0	0	0	0	0	0
gene-1505	0	0	2	1	0	2	0	0	0	0	0	0
gene-1506	0	0	0	0	0	0	0	0	0	0	0	0
gene-1507	0	0	0	0	0	0	0	0	0	0	0	0
gene-1508	0	0	0	0	0	0	0	0	0	0	0	0
gene-1509	0	0	0	0	1	0	1	0	0	0	0	0
gene-1510	0	0	0	0	0	0	2	0	0	0	0	0
gene-1511	0	0	0	0	4	1	0	0	1	0	1	0
gene-1512	0	0	0	0	0	0	0	0	0	0	0	0
gene-1513	0	0	0	0	0	0	0	0	1	0	0	0
gene-1514	0	0	0	0	4	0	6	1	0	0	1	1
gene-1515	0	0	0	0	2	0	0	2	0	0	0	0
gene-1516	0	0	0	0	0	0	0	0	0	1	0	0
gene-1517	0	1	0	0	0	0	7	0	0	0	0	0
gene-1518	0	0	0	0	0	0	0	0	0	0	0	0
gene-1519	1	0	0	0	2	0	1	0	0	0	0	0
gene-1520	0	0	0	0	1	0	0	0	0	0	3	0
gene-1521	0	0	0	1	0	0	0	0	0	0	0	0
gene-1522	0	0	0	0	0	0	0	0	0	0	0	0
gene-1523	0	0	0	0	0	0	0	0	0	0	0	0
gene-1524	10	5	12	14	13	7	7	7	5	5	4	1
gene-1525	6	2	3	2	2	1	10	6	4	0	1	0
gene-1526	0	0	0	0	0	0	0	0	0	0	0	0
gene-1527	0	0	0	0	4	0	0	0	0	1	0	0
gene-1528	0	0	0	0	0	0	0	0	0	0	0	0
gene-1529	5	0	1	8	5	3	9	2	2	4	2	3
gene-1530	0	0	0	0	0	0	0	0	0	0	0	0
gene-1531	0	0	0	0	0	0	0	0	0	0	1	0
gene-1532	0	0	0	0	0	0	0	0	0	0	0	0
gene-1533	0	0	0	0	0	1	0	0	0	0	0	0
gene-1534	0	0	0	0	0	0	1	4	0	0	1	0
gene-1535	1	0	2	0	2	0	1	1	1	0	0	1
gene-1536	0	0	0	0	2	0	0	0	0	0	0	0
gene-1537	0	0	0	0	0	0	0	0	0	0	0	0
gene-1538	0	0	0	0	0	0	0	0	0	0	0	0
gene-1539	1	3	0	3	2	1	1	1	2	1	1	2
gene-1540	0	1	0	0	0	0	0	0	0	0	1	0
gene-1541	0	0	0	1	0	0	0	0	0	0	0	0
gene-1542	0	0	0	0	0	0	0	0	0	0	0	1
